,text,top,bottom,left,right
780,g,2469,2524,2382,2407
781,n,2469,2524,2412,2433
782,e,2469,2524,2436,2457
783,d,2469,2524,2460,2485
784,o,2469,2524,2502,2526
785,n,2469,2524,2535,2551
786,i,2469,2524,2574,2579
787,t,2469,2524,2584,2595
788,s,2469,2524,2600,2617
789,b,2469,2524,2634,2657
790,c,2469,2524,2660,2681
791,h,2469,2524,2686,2707
792,a,2469,2524,2714,2733
793,l,2469,2524,2740,2745
794,f,2469,2524,2754,2773
795,b,2469,2524,2784,2805
796,y,2469,2524,2810,2833
797,P,2848,2889,203,229
798,G,2848,2889,247,283
799,B,2848,2889,299,329
800,i,2848,2889,335,343
801,r,2848,2889,349,365
802,b,2848,2889,367,391
803,e,2848,2889,395,415
804,c,2848,2889,419,439
805,k,2848,2889,443,465
806,-,2848,2889,485,499
807,D,2848,2889,515,549
808,i,2848,2889,555,563
809,r,2848,2889,569,585
810,e,2848,2889,587,607
811,c,2848,2889,611,631
812,t,2848,2889,635,647
813,o,2848,2889,651,673
814,r,2848,2889,677,695
815,T,4290,4341,1098,1127
816,h,4290,4341,1132,1153
817,e,4290,4341,1156,1177
818,n,4290,4341,1194,1217
819,o,4290,4341,1222,1245
820,t,4290,4341,1250,1261
821,e,4290,4341,1264,1285
822,s,4290,4341,1290,1305
823,f,4290,4341,1324,1344
824,o,4290,4341,1347,1360
825,r,4290,4341,1367,1383
826,m,4290,4341,1391,1423
827,p,4290,4341,1440,1464
828,a,4290,4341,1468,1490
829,r,4290,4341,1492,1510
830,t,4290,4341,1512,1522
831,o,4290,4341,1540,1562
832,f,4290,4341,1566,1586
833,t,4290,4341,1596,1608
834,h,4290,4341,1612,1636
835,e,4290,4341,1640,1660
836,s,4290,4341,1664,1680
837,e,4290,4341,1684,1706
838,f,4290,4341,1724,1743
839,i,4290,4341,1748,1758
840,n,4290,4341,1757,1771
841,a,4290,4341,1781,1801
842,n,4290,4341,1809,1827
843,c,4290,4341,1836,1853
844,i,4290,4341,1860,1873
845,a,4290,4341,1876,1889
846,l,4290,4341,1897,1908
847,s,4290,4341,1926,1942
848,t,4290,4341,1947,1958
849,a,4290,4341,1963,1980
850,t,4290,4341,1985,1996
851,e,4290,4341,1999,2020
852,m,4290,4341,2023,2062
853,e,4290,4341,2067,2086
854,n,4290,4341,2089,2114
855,t,4290,4341,2117,2128
856,s,4290,4341,2133,2148
857,P,4416,4470,1551,1578
858,a,4415,4469,1579,1602
859,g,4414,4468,1604,1631
860,e,4414,4468,1632,1655
861,7,4412,4466,1671,1694
